id,date,receipt,unit_price,issue,balance,amount,supplier_id
1,2021-02-23,10,40,,10,400,3
2,2021-02-23,,40,1,9,360,
3,2021-07-07,,40,1,8,320,
4,2021-09-20,,40,1,7,280,
5,2021-10-01,,40,1,6,240,
6,2022-04-06,,40,1,5,200,
7,2022-06-07,,40,2,3,120,
8,2022-10-03,,40,1,2,80,
9,2023-03-22,,40,1,1,40,
10,2023-06-06,,40,1,0,0,
11,2023-09-04,5,50,1,4,200,1
12,2023-10-03,,50,1,3,150,
13,2024-04-10,,50,1,2,100,
14,2024-05-10,,50,1,1,50,
15,2024-05-27,,50,1,0,0,
16,2024-09-20,2,90,,2,180,1
17,2024-09-20,,90,1,1,90,
18,2024-10-07,,90,1,0,0,
