id,date,receipt,unit_price,issue,balance,amount,supplier_id
,2019-11-07,3,60,,3,180,1
,2019-11-07, -   ,60,1,2,120,
,2019-11-07, -   ,60,1,1,60,
,2019-11-07, -   ,60,1,  -    ,  -    ,
,2020-07-27,5,80, -   ,5,400,1
,2020-08-06, -   ,80,1,4,320,
,2020-10-23, -   ,80,1,3,240,
,2021-02-08, -   ,80,1,2,160,
,2021-02-23,40,130, -   ,42,"5,460.00",3
,2021-02-24, -   ,130,1,41,"5,330.00",
,2021-03-24, -   ,130,1,40,"5,200.00",
,2021-07-30, -   ,130,1,39,"5,070.00",
,2021-09-20, -   ,130,1,38,"4,940.00",
,2021-12-16, -   ,130,1,37,"4,810.00",
,2022-03-09, -   ,130,2,35,"4,550.00",
,2022-04-06, -   ,130,1,34,"4,420.00",
,2022-04-22, -   ,130,1,33,"4,290.00",
,2022-06-07, -   ,130,1,32,"4,160.00",
,2022-08-11, -   ,130,1,31,"4,030.00",
,2022-10-03, -   ,130,1,30,"3,900.00",
,2023-03-22, -   ,130,1,29,"3,770.00",
,2023-05-09, -   ,130,1,28,"3,640.00",
,2023-06-07, -   ,130,1,27,"3,510.00",
,2023-09-04, -   ,130,1,26,"3,380.00",
,2023-10-25, -   ,130,1,25,"3,250.00",
,2024-01-10, -   ,130,1,24,"3,120.00",
,2024-04-16, -   ,130,1,23,"2,990.00",
,2024-05-27, -   ,130,1,22,"2,860.00",
,2024-09-10, -   ,130,1,21,"2,730.00",
,2024-10-16, -   ,130,1,20,"2,600.00",
,2025-01-08, -   ,130,1,19,"2,470.00",
