id,date,receipt,unit_price,issue,balance,amount,supplier_id
,2021-08-18,1680,20,,1680,"33,600.00",6
,2021-09-16,,20,120,1560,"31,200.00",
,2021-09-22,,20,80,1480,"29,600.00",
,2021-09-28,, -   ,56,1424, -   ,
,2021-10-21,, -   ,12,1412, -   ,
,2021-11-10,,20,5,1407,"28,140.00",
,2021-11-17,,20,120,1287,"25,740.00",
,2021-12-01,, -   ,3,1284, -   ,
,2021-12-07,,20,3,1281,"25,620.00",
,2021-12-08,,20,24,1257,"25,140.00",
,2021-12-08,,20,6,1251,"25,020.00",
,2021-12-08,,20,3,1248,"24,960.00",
,2021-12-08,,20,3,1245,"24,900.00",
,2021-12-21,,20,3,1242,"24,840.00",
,2022-01-06,, -   ,3,1239, -   ,
,2022-01-14,,20,36,1203,"24,060.00",
,2022-02-23,,20,15,1188,"23,760.00",
,2022-02-25,,20,120,1068,"21,360.00",
,2022-03-02,,20,4,1064,"21,280.00",
,2022-03-10,,20,60,1004,"20,080.00",
,2022-03-21,,20,4,1000,"20,000.00",
,2022-03-25,,20,24,976,"19,520.00",
,2022-04-27,,20,200,776,"15,520.00",
,2022-04-28,,20,3,773,"15,460.00",
,2022-04-28,,20,3,770,"15,400.00",
,2022-05-10,,20,30,740,"14,800.00",
,2022-06-02,,20,100,640,"12,800.00",
,2022-06-02,, -   ,12,628, -   ,
,2022-06-03,,20,5,623,"12,460.00",
,2022-07-14,, -   ,3,620, -   ,
,2022-07-28,,20,36,584,"11,680.00",
,2022-08-16,,20,22,562,"11,240.00",
,2022-08-16,,20,24,538,"10,760.00",
,2022-09-13,,20,24,514,"10,280.00",
,2022-09-13,,20,24,490,"9,800.00",
,2022-09-13,,20,24,466,"9,320.00",
,2022-09-27,,20,36,430,"8,600.00",
,2022-09-27,,20,72,358,"7,160.00",
,2022-09-29,,20,25,333,"6,660.00",
,2022-09-30,,20,8,325,"6,500.00",
,2022-10-03,,20,17,308,"6,160.00",
,2022-10-12,,20,99,209,"4,180.00",
,2022-10-12,, -   ,3,206, -   ,
,2022-11-02,,20,8,198,"3,960.00",
,2023-01-12,,20,6,192,"3,840.00",
,2023-01-31,, -   ,4,188, -   ,
,2023-02-01,,20,50,138,"2,760.00",
,2023-02-20,,20,6,132,"2,640.00",
,2023-03-10,,30,30,102,"3,060.00",
,2023-03-10,,30,10,92,"2,760.00",
,2023-03-15,,30,2,90,"2,700.00",
,2023-04-04,,30,4,86,"2,580.00",
,2023-09-08,,30,74,12,360,
,2023-11-27,,30,4,8,240,
,2023-11-27,,30,3,5,150,
,2024-05-10,,30,4,1,30,
,2024-05-10,,30,1,0, -   ,
