id,date,receipt,unit_price,issue,balance,amount,supplier_id
,2022-09-13,300,50,,300,"15,000.00",7
,2022-09-13,,50,70,230,"11,500.00",
,2022-09-13,,50,15,215,"10,750.00",
,2022-09-28,,50,5,210,"10,500.00",
,2022-09-29,,50,2,208,"10,400.00",
,2022-09-29,,50,5,203,"10,150.00",
,2022-10-05,,50,15,188,"9,400.00",
,2022-10-06,,50,5,183,"9,150.00",
,2022-10-10,,50,1,182,"9,100.00",
,2022-10-12,,50,20,162,"8,100.00",
,2022-10-12,,50,2,160,"8,000.00",
,2022-10-12,,50,1,159,"7,950.00",
,2022-10-12,,50,1,158,"7,900.00",
,2022-11-02,,50,2,156,"7,800.00",
,2023-01-12,,50,1,155,"7,750.00",
,2023-02-01,,50,20,135,"6,750.00",
,2023-02-01,,50,28,107,"5,350.00",
,2023-02-06,,50,2,105,"5,250.00",
,2023-03-10,,70,3,102,"7,140.00",
,2023-03-10,,70,20,82,"5,740.00",
,2023-03-15,,70,1,81,"5,670.00",
,2023-03-29,,70,1,80,"5,600.00",
,2023-04-04,,70,1,79,"5,530.00",
,2023-06-08,,70,1,78,"5,460.00",
,2023-09-02,,70,7,71,"4,970.00",
,2023-09-08,,70,29,42,"2,940.00",
,2024-05-10,,70,2,40,"2,800.00",
,2024-05-10,,70,1,39,"2,730.00",
,2024-09-10,,70,4,35,"2,450.00",
,2024-10-10,,90,3,32,"2,880.00",
,2024-10-10,,100,1,31,"3,100.00",
,2025-01-27,,100,5,26,"2,600.00",
