issued_quantity,date_issued,description
1,2019-11-07,Accounts
1,2019-11-07,Administrative Use
1,2019-11-07,SC's Office
1,2020-08-06,Office use
1,2020-10-23,Office use
1,2021-02-08,Office use
1,2021-02-24,Office use
1,2021-03-24,Office use
1,2021-07-30,Office use
1,2021-09-20,Office use
1,2021-12-16,Office use
2,2022-03-09,Office use
1,2022-04-06,Office use
1,2022-04-22,Office use
1,2022-06-07,Office use
1,2022-08-11,Office use
1,2022-10-03,Office use
1,2023-03-22,Office use
1,2023-05-09,Office use
1,2023-06-07,Office use
1,2023-09-04,Office use
1,2023-10-25,Office use
1,2024-01-10,Office use
1,2024-04-16,Office use
1,2024-05-27,Office use
1,2024-09-10,Office use
1,2024-10-16,Office use
1,2025-01-08,Office use
