issued_quantity,date_issued,description
2,2019-11-07,Administrative Use
1,2019-11-07,Administrative Use
1,2019-11-07,Administrative Use
1,2019-11-29,Administrative Use
1,2019-11-29,Administrative Use
1,2019-11-29,Administrative Use
1,2019-11-29,Administrative Use
1,2019-12-03,Administrative Use
2,2019-12-12,Administrative Use
1,2020-01-08,Administrative Use
1,2020-01-20,Administrative Use
1,2020-01-22,Administrative Use
6,2020-02-19,Administrative Use
2,2020-02-19,Administrative Use
1,2020-02-19,Administrative Use
1,2020-02-19,Administrative Use
1,2020-10-20,Administrative Use
1,2020-10-20,Administrative Use
1,2020-10-20,Administrative Use
1,2020-11-02,Administrative Use
1,2021-02-08,Administrative Use
16,2021-02-08,Administrative Use
5,2021-02-08,Administrative Use
1,2021-02-08,Administrative Use
1,2021-04-16,Administrative Use
1,2021-06-22,Administrative Use
2,2021-07-12,Administrative Use
2,2021-09-16,Administrative Use
1,2021-10-25,Administrative Use
1,2021-11-01,Administrative Use
4,2021-11-01,Administrative Use
1,2021-11-20,Administrative Use
2,2022-12-06,Administrative Use
2,2022-04-03,Administrative Use
2,2022-05-05,Administrative Use
1,2022-07-20,Administrative Use
3,2022-08-31,Administrative Use
2,2023-06-26,Administrative Use
1,2023-08-06,Administrative Use
1,2023-10-27,Administrative Use
3,2023-10-27,Administrative Use
3,2024-02-26,Administrative Use
2,2024-03-04,Administrative Use
1,2024-03-20,Administrative Use
2,2024-05-27,Administrative Use
2,2024-06-15,Administrative Use
1,2024-06-20,Administrative Use
