issued_quantity,date_issued,description
 2 ,7-Nov-19,Administrative Use
 1 ,7-Nov-19,Administrative Use
 1 ,7-Nov-19,Administrative Use
 1 ,29-Nov-19,Administrative Use
 1 ,29-Nov-19,Administrative Use
 1 ,29-Nov-19,Administrative Use
 1 ,29-Nov-19,Administrative Use
 1 ,3-Dec-19,Administrative Use
 2 ,12-Dec-19,Administrative Use
 1 ,8-Jan-20,Administrative Use
 1 ,20-Jan-20,Administrative Use
 1 ,22-Jan-20,Administrative Use
 6 ,19-Feb-20,Administrative Use
 2 ,19-Feb-20,Administrative Use
 1 ,19-Feb-20,Administrative Use
 1 ,19-Feb-20,Administrative Use
 1 ,20-Oct-20,Administrative Use
 1 ,20-Oct-20,Administrative Use
 1 ,20-Oct-20,Administrative Use
 1 ,2-Nov-20,Administrative Use
 1 ,8-Feb-21,Administrative Use
 16 ,8-Feb-21,Administrative Use
 5 ,8-Feb-21,Administrative Use
 1 ,8-Feb-21,Administrative Use
 1 ,16-Apr-21,Administrative Use
 1 ,22-Jun-21,Administrative Use
 2 ,12-Jul-21,Administrative Use
 2 ,16-Sep-21,Administrative Use
 1 ,25-Oct-21,Administrative Use
 1 ,1-Nov-21,Administrative Use
 4 ,1-Nov-21,Administrative Use
 1 ,20-Nov-21,Administrative Use
 2 ,6-Dec-22,Administrative Use
 2 ,3-Apr-22,Administrative Use
 2 ,5-May-22,Administrative Use
 1 ,20-Jul-22,Administrative Use
 3 ,31-Aug-22,Administrative Use
 2 ,26-Jun-23,Administrative Use
 1 ,6-Aug-23,Administrative Use
 1 ,27-Oct-23,Administrative Use
 3 ,27-Oct-23,Administrative Use
 3 ,26-Feb-24,Administrative Use
 2 ,4-Mar-24,Administrative Use
 1 ,20-Mar-24,Administrative Use
 2 ,27-May-24,Administrative Use
 2 ,15-Jun-24,Administrative Use
 1 ,20-Jun-24,Administrative Use
